Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really low lately, especially after I lost my job a month ago. I used to enjoy going out with friends, but now I just stay at home binge-watching shows on Netflix, even though I hardly find them entertaining anymore. It’s hard to explain, but I just feel this heavy weight on my chest all the time."
DEPEPS,True,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","Since losing my job, it's been tough to find any joy in things I used to love. For instance, I used to enjoy going to the gym several times a week, but now I struggle to muster the energy to get out of bed. My sleep has been restless too; I often wake up multiple times during the night and spend hours just staring at the ceiling. I've lost my appetite, only nibbling on a few crackers throughout the day, which is a stark contrast to my usual healthy meals. It's been going on for over two weeks now, and at times I've caught myself thinking that maybe it would be easier if I weren't around."
DEPEPS_HALL,True,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"A few weeks ago, while I was lying in bed late at night, I distinctly heard my late grandmother's voice calling my name, telling me to come downstairs. I felt compelled to get up and follow the voice, but when I reached the living room, I realized there was no one there. It shook me up, and I haven't been able to shake the feeling that she was trying to warn me about something."
DEPEPS_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"Even though I’ve been feeling really low lately after losing my job, I haven’t experienced any manic or major depressive episodes where my psychotic symptoms seemed to worsen. For instance, while I did hear my grandmother's voice at night, I was already feeling down and it didn't happen during a time when I was feeling overly energetic or elated. Instead, it felt more like a moment of confusion rather than aligning with any extreme mood changes."
SCHIZ3,True,Schizophrenia spectrum or other psychotic disorder,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I've been trying to figure out my mood lately, especially since I haven't been drinking alcohol or using any recreational drugs. I have a prescription for anxiety medication that I've been taking for a while, but I don't think it's causing my low mood; if anything, it feels like it helps me cope a bit. I just feel this persistent heaviness after losing my job, and it seems more tied to my situation than anything else."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","Lately, I've been feeling down, particularly after losing my job. It does weigh heavily on me and I find myself avoiding social interactions, but I wouldn’t say it's significantly impairing my daily life. I still manage to take care of my responsibilities, like paying my bills and keeping my home tidy, even if I feel less enthusiastic about it all."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've been feeling really low ever since I lost my job, but I don't have any underlying medical conditions that could explain my mood. My physical health is generally fine; I go for regular check-ups, and my doctor has never mentioned any issues. It feels like my depression is more about the stress from my job loss rather than any health problem."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I've noticed that while I feel down, my cognitive abilities seem to be functioning well. For example, when I was sorting through my bills last week, I was able to organize everything without any trouble and even set up a new budget plan. I remember the details clearly and was able to follow through with my tasks, so I don’t think there’s a decline in my cognitive functions that impacts my daily life."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC,False,the patient has reported clinicallly significant manic or hypomanic symptoms,"I haven't noticed any manic or hypomanic symptoms lately. For example, even though I've been feeling down, I haven't experienced any bursts of energy or periods where I felt overly excited or unusually productive. Most days, I find it hard to even get out of bed, let alone engage in activities that would require a heightened mood or energy."
