path,name,parent,Description
/ROOT,ROOT,, Starting the interview
/ROOT/MDDROOT,MDDROOT,ROOT,"ICEBREAKING. Check for depressed mood"
/ROOT/MDDROOT/SUB,SUB,MDDROOT,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions."
/ROOT/MDDROOT/SUB/SUB_SEV,SUB_SEV,SUB,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. "
/ROOT/MDDROOT/SUB/SUB_SEV/SIDD,SIDD,SUB_SEV,substance/medication-induced depressive disorder
/ROOT/MDDROOT/SUB/SUB_SEV/SI,SI,SUB_SEV,substance intoxication; substance withdrawal;other adverse effect of medication
/ROOT/MDDROOT/SUB/MED,MED,SUB,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. "
/ROOT/MDDROOT/SUB/MED/MED_COG,MED_COG,MED,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition."
/ROOT/MDDROOT/SUB/MED/MED_COG/MNEUD,MNEUD,MED_COG,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance"
/ROOT/MDDROOT/SUB/MED/MED_COG/MEDDD,MEDDD,MED_COG,Depressive disorder due to another medical condition
/ROOT/MDDROOT/SUB/MED/MANIC,MANIC,MED,the patient has reported clinicallly significant manic or hypomanic symptoms
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR,MANIC_DUR,MANIC,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment)."
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HALL,MANIC_DUR_HALL,MANIC_DUR,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HALL/MANIC_DUR_HALL_PSYC,MANIC_DUR_HALL_PSYC,MANIC_DUR_HALL,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HALL/MANIC_DUR_HALL_PSYC/BPIPSYC,BPIPSYC,MANIC_DUR_HALL_PSYC,Bipolar I disorder with psychotic features
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HALL/MANIC_DUR_HALL_PSYC/SCHIZ,SCHIZ,MANIC_DUR_HALL_PSYC,Schizophrenia spectrum or other psychotic disorder
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HALL/BPI,BPI,MANIC_DUR_HALL,Bipolar I disorder
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO,MANIC_DUR_HYPO,MANIC_DUR,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode."
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_HALL,MANIC_DUR_HYPO_HALL,MANIC_DUR_HYPO,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_HALL/MANIC_DUR_HYPO_HALL_PSYC,MANIC_DUR_HYPO_HALL_PSYC,MANIC_DUR_HYPO_HALL,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_HALL/MANIC_DUR_HYPO_HALL_PSYC/BPIIPSYC,BPIIPSYC,MANIC_DUR_HYPO_HALL_PSYC,Bipolar II disorder with psychotic features
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_HALL/MANIC_DUR_HYPO_HALL_PSYC/SCHIZ2,SCHIZ2,MANIC_DUR_HYPO_HALL_PSYC,Schizophrenia spectrum or other psychotic disorder
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_HALL/BPII,BPII,MANIC_DUR_HYPO_HALL,Bipolar II disorder
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_DUR,MANIC_DUR_HYPO_DUR,MANIC_DUR_HYPO,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_DUR/CYC,CYC,MANIC_DUR_HYPO_DUR,Cyclothymic
/ROOT/MDDROOT/SUB/MED/MANIC/MANIC_DUR/MANIC_DUR_HYPO/MANIC_DUR_HYPO_DUR/OTHBP,OTHBP,MANIC_DUR_HYPO_DUR,Other specified bipolar and related disorders or unspecified bipolar and related disorders
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS,DEPEPS,MANIC,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. "
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL,DEPEPS_HALL,DEPEPS,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_PSYC,DEPEPS_HALL_PSYC,DEPEPS_HALL,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_PSYC/DEPEPS_HALL_PSYC_DUR,DEPEPS_HALL_PSYC_DUR,DEPEPS_HALL_PSYC,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. 
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_PSYC/DEPEPS_HALL_PSYC_DUR/MDDPDDPSYC,MDDPDDPSYC,DEPEPS_HALL_PSYC_DUR,"Major depressive disorder with psychotic features, plus persistent depressive disorder"
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_PSYC/DEPEPS_HALL_PSYC_DUR/MDDPSYC,MDDPSYC,DEPEPS_HALL_PSYC_DUR,Major depressive disorder with psychotic features
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_PSYC/SCHIZ3,SCHIZ3,DEPEPS_HALL_PSYC,Schizophrenia spectrum or other psychotic disorder
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_DUR,DEPEPS_HALL_DUR,DEPEPS_HALL,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. 
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_DUR/MDDPDD,MDDPDD,DEPEPS_HALL_DUR,Major depressive disorder plus persistent depressive disorder
